N°;Secondes;Brut;Volts;Date
    132;  1331;1084;1.356;Wed Feb 22 16:03:30 2017
    133;  1341;1084;1.356;Wed Feb 22 16:03:40 2017
    134;  1351;1083;1.354;Wed Feb 22 16:03:50 2017
    135;  1361;1084;1.356;Wed Feb 22 16:04:00 2017
    136;  1371;1084;1.356;Wed Feb 22 16:04:10 2017
    137;  1381;1084;1.356;Wed Feb 22 16:04:20 2017
    138;  1391;1084;1.356;Wed Feb 22 16:04:30 2017
    139;  1401;1084;1.356;Wed Feb 22 16:04:40 2017
    140;  1411;1085;1.357;Wed Feb 22 16:04:50 2017
    141;  1421;1085;1.357;Wed Feb 22 16:05:00 2017
    142;  1431;1085;1.357;Wed Feb 22 16:05:10 2017
    143;  1441;1085;1.357;Wed Feb 22 16:05:20 2017
    144;  1451;1086;1.358;Wed Feb 22 16:05:30 2017
    145;  1461;1085;1.357;Wed Feb 22 16:05:40 2017
    146;  1471;1086;1.358;Wed Feb 22 16:05:50 2017
    147;  1481;1086;1.358;Wed Feb 22 16:06:00 2017
    148;  1491;1086;1.358;Wed Feb 22 16:06:10 2017
    149;  1501;1086;1.358;Wed Feb 22 16:06:20 2017
    150;  1511;1085;1.357;Wed Feb 22 16:06:30 2017
    151;  1521;1086;1.358;Wed Feb 22 16:06:40 2017
    152;  1532;1085;1.357;Wed Feb 22 16:06:51 2017
    153;  1542;1085;1.357;Wed Feb 22 16:07:01 2017
    154;  1552;1086;1.358;Wed Feb 22 16:07:11 2017
    155;  1562;1086;1.358;Wed Feb 22 16:07:21 2017
    156;  1572;1086;1.358;Wed Feb 22 16:07:31 2017
    157;  1582;1086;1.358;Wed Feb 22 16:07:41 2017
    158;  1592;1086;1.358;Wed Feb 22 16:07:51 2017
    159;  1602;1086;1.358;Wed Feb 22 16:08:01 2017
    160;  1612;1086;1.358;Wed Feb 22 16:08:11 2017
    161;  1622;1086;1.358;Wed Feb 22 16:08:21 2017
    162;  1632;1086;1.358;Wed Feb 22 16:08:31 2017
    163;  1642;1086;1.358;Wed Feb 22 16:08:41 2017
    164;  1652;1086;1.358;Wed Feb 22 16:08:51 2017
    165;  1662;1087;1.359;Wed Feb 22 16:09:01 2017
    166;  1672;1087;1.359;Wed Feb 22 16:09:11 2017
    167;  1682;1086;1.358;Wed Feb 22 16:09:21 2017
    168;  1692;1087;1.359;Wed Feb 22 16:09:31 2017
    169;  1702;1087;1.359;Wed Feb 22 16:09:41 2017
    170;  1712;1087;1.359;Wed Feb 22 16:09:51 2017
    171;  1722;1087;1.359;Wed Feb 22 16:10:01 2017
    172;  1732;1087;1.359;Wed Feb 22 16:10:11 2017
    173;  1742;1087;1.359;Wed Feb 22 16:10:21 2017
    174;  1752;1087;1.359;Wed Feb 22 16:10:31 2017
    175;  1763;1088;1.361;Wed Feb 22 16:10:42 2017
    176;  1773;1087;1.359;Wed Feb 22 16:10:52 2017
    177;  1783;1088;1.361;Wed Feb 22 16:11:02 2017
    178;  1793;1088;1.361;Wed Feb 22 16:11:12 2017
    179;  1803;1088;1.361;Wed Feb 22 16:11:22 2017
    180;  1813;1088;1.361;Wed Feb 22 16:11:32 2017
    181;  1823;1088;1.361;Wed Feb 22 16:11:42 2017
    182;  1833;1088;1.361;Wed Feb 22 16:11:52 2017
    183;  1843;1089;1.362;Wed Feb 22 16:12:02 2017
    184;  1853;1088;1.361;Wed Feb 22 16:12:12 2017
    185;  1863;1089;1.362;Wed Feb 22 16:12:22 2017
    186;  1873;1089;1.362;Wed Feb 22 16:12:32 2017
    187;  1883;1089;1.362;Wed Feb 22 16:12:42 2017
    188;  1893;1089;1.362;Wed Feb 22 16:12:52 2017
    189;  1903;1088;1.361;Wed Feb 22 16:13:02 2017
    190;  1913;1089;1.362;Wed Feb 22 16:13:12 2017
    191;  1923;1088;1.361;Wed Feb 22 16:13:22 2017
    192;  1934;1088;1.361;Wed Feb 22 16:13:33 2017
    193;  1944;1088;1.361;Wed Feb 22 16:13:43 2017
    194;  1954;1088;1.361;Wed Feb 22 16:13:53 2017
    195;  1964;1089;1.362;Wed Feb 22 16:14:03 2017
    196;  1974;1088;1.361;Wed Feb 22 16:14:13 2017
    197;  1984;1089;1.362;Wed Feb 22 16:14:23 2017
    198;  1994;1089;1.362;Wed Feb 22 16:14:33 2017
    199;  2004;1089;1.362;Wed Feb 22 16:14:43 2017
    200;  2014;1089;1.362;Wed Feb 22 16:14:53 2017
    201;  2024;1089;1.362;Wed Feb 22 16:15:03 2017
    202;  2034;1089;1.362;Wed Feb 22 16:15:13 2017
    203;  2044;1090;1.363;Wed Feb 22 16:15:23 2017
    204;  2054;1089;1.362;Wed Feb 22 16:15:33 2017
